Ellipsoid Axis B Y,,,,,
 ==================== ,,,,,
Ellipsoid Axis B Y,Unit,Category,Collection,Time,ID
0.0530045,µm,Surface,Ellipsoid Axis B,1,143
-0.141613,µm,Surface,Ellipsoid Axis B,1,144
-0.0980732,µm,Surface,Ellipsoid Axis B,1,145
-0.971458,µm,Surface,Ellipsoid Axis B,1,146
-0.815906,µm,Surface,Ellipsoid Axis B,1,147
-0.852184,µm,Surface,Ellipsoid Axis B,1,148
-0.100126,µm,Surface,Ellipsoid Axis B,1,149
0.0208147,µm,Surface,Ellipsoid Axis B,1,150
-0.287153,µm,Surface,Ellipsoid Axis B,1,151
-0.646796,µm,Surface,Ellipsoid Axis B,1,152
0.0899774,µm,Surface,Ellipsoid Axis B,1,153
0.0379478,µm,Surface,Ellipsoid Axis B,1,154
-0.324858,µm,Surface,Ellipsoid Axis B,1,155
-0.149094,µm,Surface,Ellipsoid Axis B,1,156
-0.125087,µm,Surface,Ellipsoid Axis B,1,157
-0.831956,µm,Surface,Ellipsoid Axis B,1,158
-0.283288,µm,Surface,Ellipsoid Axis B,1,159
-0.0434021,µm,Surface,Ellipsoid Axis B,1,160
-0.836431,µm,Surface,Ellipsoid Axis B,1,161
-0.1466,µm,Surface,Ellipsoid Axis B,1,162
0.800593,µm,Surface,Ellipsoid Axis B,1,163
0.0257373,µm,Surface,Ellipsoid Axis B,1,164
0.838335,µm,Surface,Ellipsoid Axis B,1,165
0.186611,µm,Surface,Ellipsoid Axis B,1,166
0.318855,µm,Surface,Ellipsoid Axis B,1,167
0.446868,µm,Surface,Ellipsoid Axis B,1,168
-0.356697,µm,Surface,Ellipsoid Axis B,1,169
-0.43285,µm,Surface,Ellipsoid Axis B,1,170
0.664517,µm,Surface,Ellipsoid Axis B,1,171
0.188932,µm,Surface,Ellipsoid Axis B,1,172
0.759302,µm,Surface,Ellipsoid Axis B,1,173
0.279028,µm,Surface,Ellipsoid Axis B,1,174
0.171042,µm,Surface,Ellipsoid Axis B,1,175
0.0190368,µm,Surface,Ellipsoid Axis B,1,176
0.981485,µm,Surface,Ellipsoid Axis B,1,177
-0.229048,µm,Surface,Ellipsoid Axis B,1,178
-0.0590049,µm,Surface,Ellipsoid Axis B,1,179
0.00389255,µm,Surface,Ellipsoid Axis B,1,180
0.0916836,µm,Surface,Ellipsoid Axis B,1,181
-0.249343,µm,Surface,Ellipsoid Axis B,1,182
0.0617041,µm,Surface,Ellipsoid Axis B,1,183
-0.0285201,µm,Surface,Ellipsoid Axis B,1,184
-0.0607959,µm,Surface,Ellipsoid Axis B,1,185
0.0262204,µm,Surface,Ellipsoid Axis B,1,186
-0.966183,µm,Surface,Ellipsoid Axis B,1,187
0.170307,µm,Surface,Ellipsoid Axis B,1,188
0.962983,µm,Surface,Ellipsoid Axis B,1,189
-0.763494,µm,Surface,Ellipsoid Axis B,1,190
-0.988815,µm,Surface,Ellipsoid Axis B,1,191
-0.343443,µm,Surface,Ellipsoid Axis B,1,192
-0.200174,µm,Surface,Ellipsoid Axis B,1,193
0.118701,µm,Surface,Ellipsoid Axis B,1,194
0.950995,µm,Surface,Ellipsoid Axis B,1,195
-0.2598,µm,Surface,Ellipsoid Axis B,1,196
