Ellipsoid Axis A Y,,,,,
 ==================== ,,,,,
Ellipsoid Axis A Y,Unit,Category,Collection,Time,ID
-0.550633,µm,Surface,Ellipsoid Axis A,1,172
-0.472267,µm,Surface,Ellipsoid Axis A,1,173
0.896491,µm,Surface,Ellipsoid Axis A,1,174
-0.976191,µm,Surface,Ellipsoid Axis A,1,175
0.991385,µm,Surface,Ellipsoid Axis A,1,176
-0.121774,µm,Surface,Ellipsoid Axis A,1,177
0.942796,µm,Surface,Ellipsoid Axis A,1,178
0.997939,µm,Surface,Ellipsoid Axis A,1,179
-0.984237,µm,Surface,Ellipsoid Axis A,1,180
0.112033,µm,Surface,Ellipsoid Axis A,1,181
-0.698293,µm,Surface,Ellipsoid Axis A,1,182
-0.980083,µm,Surface,Ellipsoid Axis A,1,183
-0.991328,µm,Surface,Ellipsoid Axis A,1,184
0.367109,µm,Surface,Ellipsoid Axis A,1,185
0.957613,µm,Surface,Ellipsoid Axis A,1,186
0.0873669,µm,Surface,Ellipsoid Axis A,1,187
0.975739,µm,Surface,Ellipsoid Axis A,1,188
0.12528,µm,Surface,Ellipsoid Axis A,1,189
-0.0862072,µm,Surface,Ellipsoid Axis A,1,190
5.97E-11,µm,Surface,Ellipsoid Axis A,1,191
-0.784301,µm,Surface,Ellipsoid Axis A,1,192
-0.964672,µm,Surface,Ellipsoid Axis A,1,193
0.682572,µm,Surface,Ellipsoid Axis A,1,194
-0.272853,µm,Surface,Ellipsoid Axis A,1,195
0.0691575,µm,Surface,Ellipsoid Axis A,1,196
